grade,total_loans,default_rate,avg_int_rate,avg_fico,avg_loan_amnt
A,656302,3.75,7.360567848338113,,15215.94551745995
B,857573,9.19,10.9531805572237,,14860.066285902192
C,802280,15.54,14.488105798474347,,15211.390474647254
D,416280,21.01,18.889277097146152,,15694.408811376958
E,139036,32.32,21.912484176759975,,17386.138661929286
F,41836,40.07,25.45575819868056,,19115.479491347167
G,12185,44.11,28.076054985638077,,20356.94501436192
